student_id,school_id,class,subject,topic,prerequisite_topic,prerequisite_score,days_since_prerequisite,num_attempts,avg_time_per_attempt,time_on_task,score,score_variance,hint_usage_count,video_rewatch_count,help_seeking_behavior,session_count,attempt_pattern,difficulty_score,struggle_reason,recommended_action
S_B_001,B,5,Maths,Arithmetic,none,100.0,0,3,9.6,28.8,69.1,7.97,3,5,0,4,stuck,0.309,conceptual_misunderstanding,assign_worked_examples
S_B_002,B,5,Maths,Arithmetic,none,100.0,0,2,21.9,43.8,93.8,109.96,8,0,0,5,improving,0.062,none,maintain_current_pace
S_B_003,B,5,Maths,Arithmetic,none,100.0,0,1,33.1,33.1,79.4,0.0,2,5,0,2,insufficient_data,0.206,none,maintain_current_pace
S_B_004,B,5,Maths,Arithmetic,none,100.0,0,6,12.9,77.4,80.9,31.04,5,5,0,4,stuck,0.191,none,maintain_current_pace
S_B_005,B,5,Maths,Arithmetic,none,100.0,0,2,40.4,80.8,100.0,0.0,3,5,0,1,stuck,0.0,none,maintain_current_pace
S_B_006,B,5,Maths,Arithmetic,none,100.0,0,2,5.0,10.0,81.0,4.24,6,2,0,2,declining,0.19,none,maintain_current_pace
S_B_007,B,5,Maths,Arithmetic,none,100.0,0,2,50.5,101.0,77.1,8.95,3,1,0,6,declining,0.229,none,maintain_current_pace
S_B_008,B,5,Maths,Arithmetic,none,100.0,0,2,60.0,120.0,86.7,0.01,6,0,0,6,stuck,0.133,none,maintain_current_pace
S_B_009,B,5,Maths,Algebra,Arithmetic,48.5,48,4,21.8,87.2,44.8,83.52,0,3,0,1,declining,0.552,prerequisite_gap,revisit_prerequisite_topic
S_B_010,B,5,Maths,Algebra,Arithmetic,47.0,33,8,50.8,406.4,39.5,70.36,0,3,1,1,stuck,0.605,prerequisite_gap,revisit_prerequisite_topic
S_B_011,B,5,Maths,Algebra,Arithmetic,39.7,11,4,39.9,159.6,43.0,53.64,7,0,0,5,improving,0.57,prerequisite_gap,revisit_prerequisite_topic
S_B_012,B,5,Maths,Algebra,Arithmetic,48.6,58,4,26.6,106.4,47.3,12.23,8,3,0,2,stuck,0.527,prerequisite_gap,revisit_prerequisite_topic
S_B_013,B,5,Maths,Algebra,Arithmetic,34.9,50,1,43.9,43.9,44.0,0.0,8,3,0,4,insufficient_data,0.56,prerequisite_gap,revisit_prerequisite_topic
S_B_014,B,5,Maths,Algebra,Arithmetic,59.1,38,6,49.4,296.4,37.0,27.96,2,3,0,2,declining,0.63,conceptual_misunderstanding,assign_worked_examples
S_B_015,B,5,Maths,Algebra,Arithmetic,81.3,29,6,57.0,342.0,54.9,86.03,2,5,1,5,improving,0.451,unstable_understanding,spaced_repetition_practice
S_B_016,B,5,Maths,Algebra,Arithmetic,44.2,47,7,24.7,172.9,67.5,44.1,6,0,0,1,stuck,0.325,prerequisite_gap,revisit_prerequisite_topic
S_B_017,B,5,Maths,Geometry,Algebra,93.5,86,6,61.7,370.2,58.8,39.19,3,3,0,6,stuck,0.412,unstable_understanding,spaced_repetition_practice
S_B_018,B,5,Maths,Geometry,Algebra,68.0,70,6,8.3,49.8,56.4,27.17,4,1,0,6,stuck,0.436,unstable_understanding,spaced_repetition_practice
S_B_019,B,5,Maths,Geometry,Algebra,61.2,8,1,31.4,31.4,75.5,0.0,8,0,0,3,insufficient_data,0.245,none,maintain_current_pace
S_B_020,B,5,Maths,Geometry,Algebra,69.1,32,8,25.7,205.6,66.1,30.96,2,4,0,2,stuck,0.339,conceptual_misunderstanding,assign_worked_examples
S_B_021,B,5,Maths,Geometry,Algebra,52.5,9,8,5.0,40.0,50.1,32.86,6,0,1,4,stuck,0.499,prerequisite_gap,revisit_prerequisite_topic
S_B_022,B,5,Maths,Geometry,Algebra,88.5,48,7,41.5,290.5,46.5,110.8,2,1,1,3,stuck,0.535,unstable_understanding,spaced_repetition_practice
S_B_023,B,5,Maths,Geometry,Algebra,54.9,77,1,35.2,35.2,38.5,0.0,2,5,0,3,insufficient_data,0.615,prerequisite_gap,revisit_prerequisite_topic
S_B_024,B,5,Maths,Geometry,Algebra,46.2,44,5,52.4,262.0,61.0,79.61,8,5,0,5,stuck,0.39,prerequisite_gap,revisit_prerequisite_topic
S_B_025,B,5,Maths,Trigonometry,Geometry,36.4,18,8,9.4,75.2,33.1,77.39,3,2,1,3,stuck,0.669,prerequisite_gap,revisit_prerequisite_topic
S_B_026,B,5,Maths,Trigonometry,Geometry,44.9,31,4,22.6,90.4,60.1,30.75,6,5,0,6,stuck,0.399,prerequisite_gap,revisit_prerequisite_topic
S_B_027,B,5,Maths,Trigonometry,Geometry,71.4,18,5,66.9,334.5,72.7,58.01,8,1,0,1,stuck,0.273,none,maintain_current_pace
S_B_028,B,5,Maths,Trigonometry,Geometry,56.2,82,4,5.0,20.0,63.2,58.34,3,3,0,4,declining,0.368,unstable_understanding,spaced_repetition_practice
S_B_029,B,5,Maths,Trigonometry,Geometry,45.1,35,8,21.3,170.4,47.8,63.19,7,3,1,5,improving,0.522,prerequisite_gap,revisit_prerequisite_topic
S_B_030,B,5,Maths,Trigonometry,Geometry,49.5,73,7,24.9,174.3,53.7,79.16,2,0,0,1,stuck,0.463,prerequisite_gap,revisit_prerequisite_topic
S_B_031,B,5,Maths,Trigonometry,Geometry,68.6,14,5,37.4,187.0,67.4,40.41,0,0,0,1,stuck,0.326,conceptual_misunderstanding,assign_worked_examples
S_B_032,B,5,Maths,Trigonometry,Geometry,48.8,36,5,64.8,324.0,42.0,43.05,3,1,0,5,stuck,0.58,prerequisite_gap,revisit_prerequisite_topic
S_B_033,B,5,Maths,Statistics,Trigonometry,56.8,50,4,51.1,204.4,53.5,93.2,7,0,0,4,declining,0.465,conceptual_misunderstanding,assign_worked_examples
S_B_034,B,5,Maths,Statistics,Trigonometry,30.0,29,4,20.4,81.6,43.8,0.85,4,3,1,5,stuck,0.562,prerequisite_gap,revisit_prerequisite_topic
S_B_035,B,5,Maths,Statistics,Trigonometry,73.5,30,2,13.0,26.0,74.2,1.47,6,4,0,4,stuck,0.258,none,maintain_current_pace
S_B_036,B,5,Maths,Statistics,Trigonometry,65.5,3,5,45.4,227.0,82.6,55.89,7,4,0,2,stuck,0.174,none,maintain_current_pace
