student_id,school_id,class,subject,topic,prerequisite_topic,prerequisite_score,days_since_prerequisite,num_attempts,avg_time_per_attempt,time_on_task,score,score_variance,hint_usage_count,video_rewatch_count,help_seeking_behavior,session_count,attempt_pattern,difficulty_score,struggle_reason,recommended_action
S_C_001,C,5,Maths,Arithmetic,none,100.0,0,1,5.0,5.0,100.0,0.0,6,2,0,3,insufficient_data,0.0,none,maintain_current_pace
S_C_002,C,5,Maths,Arithmetic,none,100.0,0,8,84.2,673.6,90.8,37.4,5,1,0,5,stuck,0.092,none,maintain_current_pace
S_C_003,C,5,Maths,Arithmetic,none,100.0,0,2,86.2,172.4,77.8,14.66,0,3,0,6,improving,0.222,none,maintain_current_pace
S_C_004,C,5,Maths,Arithmetic,none,100.0,0,4,26.0,104.0,81.3,2.74,4,2,0,5,stuck,0.187,none,maintain_current_pace
S_C_005,C,5,Maths,Arithmetic,none,100.0,0,7,58.2,407.4,100.0,30.9,6,0,0,2,stuck,0.0,none,maintain_current_pace
S_C_006,C,5,Maths,Arithmetic,none,100.0,0,4,25.4,101.6,61.1,73.92,5,5,0,1,improving,0.389,conceptual_misunderstanding,assign_worked_examples
S_C_007,C,5,Maths,Arithmetic,none,100.0,0,2,5.0,10.0,90.9,9.55,6,5,0,1,declining,0.091,none,maintain_current_pace
S_C_008,C,5,Maths,Arithmetic,none,100.0,0,3,5.5,16.5,81.4,0.78,6,3,0,6,stuck,0.186,none,maintain_current_pace
S_C_009,C,5,Maths,Arithmetic,none,100.0,0,1,40.4,40.4,76.7,0.0,2,4,0,5,insufficient_data,0.233,none,maintain_current_pace
S_C_010,C,5,Maths,Arithmetic,none,100.0,0,3,25.9,77.7,64.4,7.99,8,5,0,4,stuck,0.356,conceptual_misunderstanding,assign_worked_examples
S_C_011,C,5,Maths,Algebra,Arithmetic,49.0,59,1,6.0,6.0,52.6,0.0,6,3,0,5,insufficient_data,0.474,prerequisite_gap,revisit_prerequisite_topic
S_C_012,C,5,Maths,Algebra,Arithmetic,35.0,29,4,5.0,20.0,32.1,21.67,2,5,1,2,declining,0.679,prerequisite_gap,revisit_prerequisite_topic
S_C_013,C,5,Maths,Algebra,Arithmetic,70.3,13,6,18.1,108.6,82.3,84.47,8,3,0,5,stuck,0.177,none,maintain_current_pace
S_C_014,C,5,Maths,Algebra,Arithmetic,32.7,29,5,5.0,25.0,40.0,25.39,1,2,0,4,stuck,0.6,prerequisite_gap,revisit_prerequisite_topic
S_C_015,C,5,Maths,Algebra,Arithmetic,86.9,90,2,24.0,48.0,73.4,269.5,0,1,0,4,improving,0.266,none,maintain_current_pace
S_C_016,C,5,Maths,Algebra,Arithmetic,57.6,69,8,61.5,492.0,70.5,69.89,7,4,0,1,stuck,0.295,none,maintain_current_pace
S_C_017,C,5,Maths,Algebra,Arithmetic,69.0,82,5,25.1,125.5,70.0,131.93,4,0,0,2,improving,0.3,none,maintain_current_pace
S_C_018,C,5,Maths,Algebra,Arithmetic,70.0,55,5,11.2,56.0,65.7,10.47,7,4,0,6,stuck,0.343,forgetting,schedule_revision_session
S_C_019,C,5,Maths,Algebra,Arithmetic,64.3,75,8,47.2,377.6,44.7,73.85,3,5,0,5,stuck,0.553,unstable_understanding,spaced_repetition_practice
S_C_020,C,5,Maths,Algebra,Arithmetic,54.6,12,6,5.0,30.0,42.7,28.61,5,0,1,6,stuck,0.573,prerequisite_gap,revisit_prerequisite_topic
S_C_021,C,5,Maths,Geometry,Algebra,60.4,75,7,5.0,35.0,59.2,18.34,2,5,0,1,stuck,0.408,forgetting,schedule_revision_session
S_C_022,C,5,Maths,Geometry,Algebra,47.6,46,5,64.2,321.0,31.3,82.03,6,0,1,3,stuck,0.687,prerequisite_gap,revisit_prerequisite_topic
S_C_023,C,5,Maths,Geometry,Algebra,72.6,22,2,36.2,72.4,58.3,1.61,4,0,0,2,stuck,0.417,low_engagement,increase_interactive_activities
S_C_024,C,5,Maths,Geometry,Algebra,59.3,39,5,22.8,114.0,44.7,55.8,4,0,1,2,declining,0.553,conceptual_misunderstanding,assign_worked_examples
S_C_025,C,5,Maths,Geometry,Algebra,31.2,76,3,14.9,44.7,39.4,21.48,2,3,1,6,improving,0.606,prerequisite_gap,revisit_prerequisite_topic
S_C_026,C,5,Maths,Geometry,Algebra,100.0,45,1,5.0,5.0,70.2,0.0,1,4,0,2,insufficient_data,0.298,none,maintain_current_pace
S_C_027,C,5,Maths,Geometry,Algebra,84.1,54,7,22.8,159.6,73.5,239.65,4,1,0,1,volatile,0.265,none,maintain_current_pace
